age,job,marital,education,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,response,predicted_probability,predicted_response
29,admin.,single,Tertiary_Education,yes,no,cellular,apr,wed,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.498,5099.1,0,0.7433633298014236,1
29,admin.,single,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,0,0.7185095033503915,1
29,admin.,single,Tertiary_Education,no,yes,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,0,0.7115595252904346,1
34,admin.,single,Tertiary_Education,no,yes,cellular,apr,wed,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,0,0.7035190536770304,1
26,services,single,Secondary_Education,no,no,cellular,apr,thu,1,contacted_in_first_10_days,less_than_3_times,success,-1.8,93.075,-47.1,1.483,5099.1,0,0.7080655169889409,1
34,admin.,single,Secondary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.7014816997464148,1
41,admin.,married,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,1,0.7083874561932157,1
66,retired,single,Tertiary_Education,yes,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.7217297025229573,1
32,admin.,single,Tertiary_Education,no,no,cellular,apr,tue,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.719165886968021,1
32,technician,single,Tertiary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.719463295292565,1
43,admin.,single,Secondary_Education,no,no,cellular,apr,tue,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.7024814445381274,1
36,self-employed,single,Tertiary_Education,no,yes,cellular,apr,tue,2,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,0,0.7016879196428308,1
32,technician,single,Tertiary_Education,no,no,cellular,apr,wed,1,contacted_first_time,never_contacted,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0.7127506754303143,1
